000014-0100,32234
000015-0000,32234
000015-0000,32234
000022-0010,32234
000028-0000,32234
000028-0029,32234
000028-0600,32234
000028-0700,32234
000032-0040,32234
000033-0000,32234
000033-0100,32234
000036-0000,32234
000039-0010,32234
000053-0010,32234
000053-0020,32234
000066-0000,32234
000072-0400,32234
000072-0400,32234
000072-0500,32234
000072-0500,32234
000073-0025,32234
000073-0070,32234
000073-0135,32234
000082-0100,32234
000090-1000,32234
000099-0000,32234
000100-0000,32234
000110-0000,32234
000118-0000,32234
000119-0000,32234
000119-0000,32234
000124-0000,32234
000130-0020,32234
000131-0000,32234
000148-0000,32234
000150-0000,32234
000157-0034,32234
000163-0020,32234
000163-0020,32234
000163-0020,32234
000163-0030,32234
000163-0030,32234
000163-0030,32234
000163-0040,32234
000163-0040,32234
000176-0020,32234
000181-0000,32234
000191-0010,32234
000191-0010,32234
000193-0000,32234
000195-0020,32234
000216-0000,32234
000229-0000,32234
000234-0000,32234
000243-0100,32234
000243-0100,32234
000245-0100,32234
000245-0100,32234
000259-0160,32234
000259-0160,32234
000275-0000,32234
000275-0000,32234
000281-0000,32234
000284-0000,32234
000288-0000,32234
000290-0000,32234
000306-0010,32234
000311-0000,32234
000316-0025,32234
000340-0010,32234
000343-0000,32234
000343-0040,32234
000352-2000,32234
000352-2000,32234
000354-0000,32234
000355-0000,32234
000357-0000,32234
000359-0000,32234
000359-0170,32234
000370-0000,32234
000370-0000,32234
000374-0000,32234
000404-0000,32234
000407-0010,32234
000408-0000,32234
000421-0040,32234
000430-9990,32234
000432-0050,32234
000432-0050,32234
000436-0150,32234
000436-0150,32234
000436-0150,32234
000436-0150,32234
000441-0000,32234
000444-0150,32234
000449-0000,32234
000457-0000,32234
000472-1015,32234
000472-1015,32234
000472-1045,32234
000472-1095,32234
000482-0000,32234
000482-0000,32234
000482-0000,32234
000483-2000,32234
000483-2000,32234
000483-2000,32234
000508-0000,32234
000508-0000,32234
000509-0000,32234
000512-0000,32234
000514-0000,32234
000517-0000,32234
000517-0000,32234
000517-0000,32234
000531-0140,32234
000541-0000,32234
000546-0000,32234
000546-0000,32234
000558-0000,32234
000560-0000,32234
000560-0000,32234
000572-0000,32234
000572-0000,32234
000573-0000,32234
000573-0000,32234
000580-0010,32234
000588-0020,32234
000588-0030,32234
000596-0000,32234
000600-0000,32234
000600-0000,32234
000648-0000,32234
000674-0000,32234
000714-0000,32234
000733-0000,32234
000751-0100,32234
000752-0000,32234
000766-0000,32234
000833-0000,32234
000837-0000,32234
000839-0020,32234
000839-0020,32234
000839-0020,32234
000852-0000,32234
000853-0000,32234
000879-0000,32234
000881-0010,32234
000881-0050,32234
000906-0000,32234
000906-0000,32234
000913-0010,32234
000915-0010,32234
000915-0010,32234
000921-0000,32234
000921-0000,32234
000932-0200,32234
000932-0300,32234
000932-0400,32234
000935-0015,32234
000935-0015,32234
000938-0102,32234
000938-0104,32234
000938-0200,32234
000940-0500,32234
000944-0000,32234
000950-0200,32234
000950-0200,32234
000950-0500,32234
000950-0500,32234
000969-0030,32234
000969-0150,32234
000969-0200,32234
000969-0255,32234
000971-0270,32234
000971-0280,32234
000971-0280,32234
000971-0295,32234
000971-1080,32234
000971-1205,32234
000971-1310,32234
000971-4015,32234
000971-4015,32234
000971-4080,32234
000971-4080,32234
001006-0110,32234
001006-0110,32234
001010-5025,32234
001010-5050,32234
001010-6200,32234
001014-0000,32234
001021-0150,32234
001026-0010,32234
001042-0000,32234
001048-0100,32234
001049-2000,32234
001099-0000,32234
001105-0000,32234
001112-0000,32234
001119-6240,32234
001119-6295,32234
001119-6400,32234
001119-6565,32234
001119-6610,32234
001119-6620,32234
001119-6630,32234
001119-6675,32234
001119-6705,32234
001119-6735,32234
001119-6750,32234
001119-6775,32234
001119-6890,32234
001119-6915,32234
001119-6950,32234
001119-7015,32234
001119-7050,32234
001119-7050,32234
001119-7140,32234
001119-7170,32234
001119-7175,32234
001119-7195,32234
001119-7195,32234
001119-7215,32234
001119-7445,32234
001119-7455,32234
001119-7510,32234
001119-7545,32234
001119-7565,32234
001119-7585,32234
001119-7605,32234
001119-7605,32234
001119-7780,32234
001119-7820,32234
001119-7845,32234
001119-7985,32234
001119-7985,32234
001119-8005,32234
001119-8025,32234
001119-8025,32234
001119-8045,32234
001119-8050,32234
001119-8050,32234
001119-8060,32234
001119-8110,32234
001119-8165,32234
001119-8175,32234
001119-8190,32234
001119-8275,32234
001119-8325,32234
001119-8360,32234
001119-8385,32234
001119-8425,32234
001119-8435,32234
001119-8540,32234
001119-8725,32234
001119-8840,32234
001119-8845,32234
001119-8855,32234
001119-8915,32234
001119-8975,32234
001119-8990,32234
001120-0250,32234
001120-0335,32234
001120-0340,32234
001120-0420,32234
001120-0495,32234
001120-0495,32234
001120-0535,32234
001120-0535,32234
001120-0550,32234
001120-0565,32234
001120-0695,32234
001120-0700,32234
001120-0700,32234
001120-0700,32234
001120-0700,32234
001120-0720,32234
001120-0750,32234
001120-0855,32234
001120-0960,32234
001120-0995,32234
001121-0030,32234
001152-0015,32234
001152-0015,32234
001155-0000,32234
001165-0010,32234
001177-0120,32234
001186-0000,32234
001186-0000,32234
001186-0000,32234
001206-0005,32234
001206-0005,32234
001215-0000,32234
001215-0000,32234
001215-0000,32234
001240-0000,32234
001256-0060,32234
001264-9210,32234
001265-5175,32234
001266-0510,32234
001266-0510,32234
001266-0520,32234
001266-0600,32234
001267-0020,32234
001269-0040,32234
001269-0070,32234
001269-0070,32234
001269-0130,32234
001271-3400,32234
001276-0000,32234
001283-0010,32234
001284-0000,32234
001288-0000,32234
001288-0000,32234
001289-0000,32234
001289-0140,32234
001289-0470,32234
001289-0475,32234
001289-0480,32234
001289-0485,32234
001289-0490,32234
001289-0495,32234
001289-0500,32234
001289-0505,32234
001289-0510,32234
001289-0515,32234
001289-0520,32234
001289-0525,32234
001289-0530,32234
001289-0535,32234
001289-0540,32234
001289-0545,32234
001289-0550,32234
001289-0555,32234
001289-0560,32234
001289-0565,32234
001289-0570,32234
001289-0575,32234
001289-0580,32234
001289-0585,32234
001289-0590,32234
001289-0595,32234
001289-0600,32234
001289-0605,32234
001289-0610,32234
001289-0615,32234
001289-0620,32234
001289-0625,32234
001289-0630,32234
001289-0635,32234
001289-0640,32234
001289-0645,32234
001289-0650,32234
001289-0655,32234
001289-0660,32234
001289-0665,32234
001289-0670,32234
001289-0675,32234
001289-0680,32234
001289-0685,32234
001289-0690,32234
001289-0695,32234
001289-0700,32234
001289-0705,32234
001289-0710,32234
001289-0715,32234
001289-0720,32234
001289-0725,32234
001289-0730,32234
001289-0735,32234
001289-0740,32234
001289-0745,32234
001289-0750,32234
001289-0755,32234
001289-0760,32234
001289-0765,32234
001289-0770,32234
001289-0775,32234
001289-0780,32234
001289-0785,32234
001289-0790,32234
001289-0795,32234
001289-0800,32234
